Batch #5293,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130406,A0131406,Mens 1670 Slim Fit Printed Navy Long Sleeve Shirt,,Others,Unbranded,Unbranded,No Logo,Mens 1670 Slim Fit Printed Navy Long Sleeve Shirt-130406,15 1/2 (32/33),M,Excellent,No,Navy Blue,MEN,Shirts,Long Sleeve Shirts,Thrift,,27,14,0.213,,Migration_Shirt,cat_shirts,74,98,,,60,1,,,,,97,,3,,,,,,,,,,,,,,,,,,,,,,100,5293
130407,A0131407, Mens FILA Sports Shorts,,FILA,Branded,MB / V,No Logo, Mens FILA Sports Shorts-130407,M,XL,Very Good,No,Gray,MEN,Shorts,Sports Shorts,Thrift,,25,6,0.16,,Migration_Shorts,cat_shorts,47,,,82,,1,,,,,,,,,,,,,,,,,93,,,,7,,,,,,,,100,5293
130408,A0131408,Mens Speedo Printed Board Shorts,,Speedo,Branded,MB,No Logo,Mens Speedo Printed Board Shorts-130408,34,L,Excellent,No,Multi Color,MEN,Shorts,Swim / Board Shorts,Thrift,,25,2,0.177,,Migration_Shorts,cat_shorts,50,,,90,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130409,A0131409,Boys Youth Adidas Sports Shorts,Missing waist string,Adidas,Branded,MB,No Logo,Boys Youth Adidas Sports Shorts-130409,M,M,Very Good,No,Black,YOUTHB,Shorts,Sports Shorts,Thrift,,20,7,0.116,,Migration_Shorts,cat_shorts,41,,,72,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130410,A0131410,Mens Brooklyn Cloth Jogger Pants,,Others,Unbranded,Unbranded,No Logo,Mens Brooklyn Cloth Jogger Pants-130410,L,L,Excellent,No,Brown,MEN,Pants,Jogger Pants,Thrift,,32,15,0.423,,Migration_Pants,cat_pants,96,,,92,,1,,,,,98,,,,,,,,,,,,,,,,2,,,,,,,,100,5293
130411,A0131411,Mens Adidas Cuff Training Pants,,Adidas,Branded,MB,Small Logo,Mens Adidas Cuff Training Pants-130411,S,M,Excellent,No,Black,MEN,Pants,Sports Pants,Thrift,,35,,0.519,,Migration_Pants,cat_pants,96,,,82,,1,,,,,,,8,,,,,,,,,,92,,,,,,,,,,,,100,5293
130412,A0131412,Mens Aero Jogger Pants,,Aeropostale,Branded,CB,No Logo,Mens Aero Jogger Pants-130412,S,S,Excellent,No,Gray,MEN,Pants,Jogger Pants,Thrift,,30,9,0.42,,Migration_Pants,cat_pants,94,,,74,,1,,,,,98,,,,,,,,,,,,,,,,2,,,,,,,,100,5293
130413,A0131413,Ladies Anthropologie Slim Pants,,Anthropologie,Branded,Exclusive,No Logo,Ladies Anthropologie Slim Pants-130413,US: 10 UK: 14 EU:42,S,Excellent,No,Black,WOMEN,Pants,Casual Pants,Thrift,,40,24,0.57,,Migration_Pants,cat_pants,92,,,78,,1,,,,,30,,4,,,,,,,,,,60,,,,,,,,,,,,94,5293
130414,A0131414,Mens Wrangler Cargo Pants,With washable stain,Wrangler,Branded,MB,No Logo,Mens Wrangler Cargo Pants-130414,34/30,L,Very Good,No,Brown,RETROM,Pants,Casual Pants,Retro,,50,50,0.55,,Migration_Pants,cat_pants,105,,,88,,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130415,A0131415,Ladies Under Armour Navy White Sports T-Shirt,,Under Armour,Branded,MB,Small Logo,Ladies Under Armour Navy White Sports T-Shirt-130415,M,M,Excellent,Yes,Navy Blue,WOMEN,TShirts,Sports T-Shirts,Thrift,,27,,0.113, ,Migration_T-Shirt,cat_tshirt,67,94,,,22,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5293
